"","GRAD_YEAR","ZIP","NUM_SCHOOLS","NUM_COHORT","NUM_GRADUATES","NUM_DROPOUTS","GRAD_RATE","DROP_RATE"
"33",2015,48122,6,795,738,44,0.928301886792453,0.0553459119496855
"34",2009,48124,1,1456,1197,250,0.822115384615385,0.171703296703297
"35",2010,48124,1,1450,1239,196,0.85448275862069,0.135172413793103
"36",2011,48124,1,1475,1226,216,0.831186440677966,0.146440677966102
"37",2012,48124,1,1392,1163,200,0.835488505747126,0.14367816091954
"38",2013,48124,1,1369,1118,196,0.816654492330168,0.143170197224251
"39",2014,48124,1,1397,1210,148,0.866141732283465,0.105941302791696
"40",2015,48124,3,4305,3843,282,0.892682926829268,0.0655052264808362
"41",2009,48125,2,369,277,90,0.750677506775068,0.24390243902439
"42",2010,48125,2,359,263,90,0.732590529247911,0.250696378830084
"43",2011,48125,2,446,284,125,0.63677130044843,0.280269058295964
"44",2012,48125,2,547,307,203,0.561243144424132,0.371115173674589
"45",2013,48125,2,654,316,273,0.483180428134557,0.41743119266055
"46",2014,48125,2,672,371,251,0.552083333333333,0.373511904761905
"47",2015,48125,6,1828,1013,571,0.554157549234136,0.312363238512035
"48",2009,48126,1,65,49,17,0.753846153846154,0.261538461538462
"49",2010,48126,2,79,75,4,0.949367088607595,0.0506329113924051
"50",2011,48126,2,94,89,7,0.946808510638298,0.074468085106383
"51",2012,48126,2,108,99,11,0.916666666666667,0.101851851851852
"52",2013,48126,2,145,130,9,0.896551724137931,0.0620689655172414
"53",2014,48126,2,154,141,8,0.915584415584416,0.051948051948052
"54",2015,48126,6,500,459,25,0.918,0.05
"55",2009,48127,2,318,287,29,0.90251572327044,0.0911949685534591
"56",2010,48127,3,388,352,29,0.907216494845361,0.0747422680412371
"57",2011,48127,5,444,292,119,0.657657657657658,0.268018018018018
"58",2012,48127,3,406,361,39,0.889162561576355,0.0960591133004926
"59",2013,48127,3,388,337,37,0.868556701030928,0.095360824742268
"60",2014,48127,3,386,352,35,0.911917098445596,0.0906735751295337
"61",2015,48127,9,1277,1183,66,0.926389976507439,0.0516836335160532
"62",2009,48134,1,131,122,10,0.931297709923664,0.0763358778625954
"63",2010,48134,1,138,113,26,0.818840579710145,0.188405797101449
"64",2011,48134,1,139,108,24,0.776978417266187,0.172661870503597
"65",2012,48134,1,143,118,22,0.825174825174825,0.153846153846154
"66",2013,48134,1,137,119,10,0.868613138686131,0.072992700729927
"67",2014,48134,1,124,112,10,0.903225806451613,0.0806451612903226
"68",2015,48134,3,438,388,32,0.885844748858447,0.0730593607305936
"69",2009,48135,1,561,365,168,0.650623885918004,0.299465240641711
"70",2010,48135,1,571,390,149,0.683012259194396,0.260945709281961
"71",2011,48135,1,592,412,155,0.695945945945946,0.261824324324324
"72",2012,48135,1,608,398,161,0.654605263157895,0.264802631578947
"73",2013,48135,1,570,423,128,0.742105263157895,0.224561403508772
"74",2014,48135,1,608,468,117,0.769736842105263,0.192434210526316
"75",2015,48135,3,1652,1219,282,0.737893462469734,0.170702179176755
"76",2009,48138,1,196,193,3,0.98469387755102,0.0153061224489796
"77",2010,48138,1,183,179,5,0.978142076502732,0.0273224043715847
"78",2011,48138,1,162,151,10,0.932098765432099,0.0617283950617284
"79",2012,48138,1,142,138,3,0.971830985915493,0.0211267605633803
"80",2013,48138,1,179,174,5,0.972067039106145,0.0279329608938547
"81",2014,48138,1,167,164,2,0.982035928143713,0.0119760479041916
"82",2015,48138,3,459,444,11,0.967320261437909,0.0239651416122004
"83",2009,48141,3,329,213,109,0.64741641337386,0.331306990881459
"84",2010,48141,3,440,256,156,0.581818181818182,0.354545454545455
