"","YEAR","ZIP_CHAR","NUM_CRIMES","NUM_ASSAULT","NUM_LARCENY","NUM_BURGLARY","NUM_PROPERTY","NUM_AUTOTHEFT","NUM_AGG_ASSAULT","NUM_MURDER","NUM_TRAFFIC","NUM_FRAUD","NUM_ROBBERY","NUM_DRUGS","NUM_WEAPONS","NUM_ESCAPE","NUM_OBSTRUCT","NUM_CONDUCT","NUM_VIOLENT","NUM_YOUTH","NUM_WHITECOLLAR","NUM_SUBSTANCE"
"237",2009,48198,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"238",2010,48198,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"239",2013,48198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240",2015,48198,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"241",2009,48201,5533,492,1131,210,2410,429,204,675,307,137,167,208,25,112,56,96,1377,2797,164,288
"242",2010,48201,5035,438,1090,204,2400,455,202,579,316,106,150,115,24,131,43,54,1224,2582,116,180
"243",2011,48201,4512,407,950,196,2058,352,192,557,228,98,117,81,21,151,45,36,1165,2186,106,113
"244",2012,48201,4586,467,898,160,1942,290,193,545,280,140,152,79,21,152,38,49,1213,2276,156,121
"245",2013,48201,4492,392,932,122,1834,246,177,362,238,149,179,118,21,157,38,37,941,2129,160,153
"246",2014,48201,3862,388,709,113,1481,250,143,1,242,121,89,64,13,129,75,30,542,1793,136,95
"247",2015,48201,3970,444,728,114,1441,165,142,0,230,110,99,75,14,75,53,38,592,1887,130,99
"248",2016,48201,3850,393,671,94,1324,163,133,0,274,100,102,72,12,37,44,31,528,1777,125,100
"249",2017,48201,182,26,70,5,108,12,11,0,0,10,7,3,3,0,0,3,39,118,13,5
"250",2009,48202,5532,509,942,326,2320,364,214,755,278,157,179,128,32,124,44,61,1495,2473,188,184
"251",2010,48202,5163,495,917,297,2102,321,233,781,267,151,156,122,24,124,36,42,1520,2303,168,177
"252",2011,48202,4595,491,811,195,1774,256,222,764,252,128,139,59,13,131,43,47,1490,2075,140,98
"253",2012,48202,4408,436,745,184,1643,249,155,767,204,185,110,88,20,114,26,41,1366,1900,197,126
"254",2013,48202,4447,414,721,197,1619,220,150,486,214,170,136,117,24,110,51,41,1063,1895,186,139
"255",2014,48202,4006,393,599,207,1417,203,197,0,238,189,120,64,26,88,49,25,600,1640,203,101
"256",2015,48202,3978,430,634,134,1313,154,175,0,192,145,81,53,18,58,37,31,617,1691,159,87
"257",2016,48202,3775,402,586,91,1232,167,152,0,219,117,79,56,22,32,23,25,560,1635,137,92
"258",2017,48202,185,25,53,11,109,21,21,0,0,11,5,2,1,0,0,1,47,103,13,5
"259",2009,48203,6143,619,522,578,2248,327,395,651,777,135,286,199,73,74,86,182,1687,2865,153,278
"260",2010,48203,5578,567,466,429,1958,305,335,613,679,127,231,180,62,98,127,148,1540,2595,141,229
"261",2011,48203,5056,525,468,428,1822,279,277,573,586,120,184,189,45,98,87,51,1404,2326,131,228
"262",2012,48203,4472,493,402,348,1568,304,283,426,425,141,162,253,45,69,74,65,1224,2011,150,274
"263",2013,48203,4133,483,414,256,1403,262,270,166,407,134,171,230,46,45,91,16,941,1856,141,245
"264",2014,48203,4002,476,356,184,1265,230,254,0,361,170,159,203,44,35,79,13,752,1806,185,214
"265",2015,48203,4123,456,386,148,1215,202,293,0,382,153,123,239,44,25,71,19,764,1933,163,254
"266",2016,48203,3629,487,324,161,1076,174,289,0,255,115,116,121,44,12,51,13,783,1584,125,132
"267",2017,48203,188,32,23,8,72,13,21,0,0,9,11,13,7,0,1,0,74,87,11,19
"268",2009,48204,6606,864,515,768,2638,458,474,716,441,181,295,233,102,128,61,61,2092,2788,204,350
