"","Location.Name","Rate.Year","Cohort.Graduation.Year","Total.Cohort","Total.Graduated","OffTrack.Other","Dropouts","Graduation.Rate","Dropout.Rate","gradyear","enrollyear"
"1222","University Preparatory Science and Math (PSAD) (82701)","4-Year",2014,86,80,3,3,0.9302,0.0233,2014,2010
"1223","Vista Meadows Academy (82716)","4-Year",2014,28,15,4,9,0.5357,0.3214,2014,2010
"1224","Vista Meadows Academy (82716)","5-Year",2013,37,19,3,15,0.5135,0.4054,2014,2009
"1225","Vista Meadows Academy (82716)","6-Year",2012,26,18,-1,9,0.6923,0.3077,2014,2008
"1226","Voyageur Academy (82940)","4-Year",2014,105,97,0,8,0.9143,0.0667,2014,2010
"1227","Voyageur Academy (82940)","5-Year",2013,86,82,-1,5,0.9419,0.0581,2014,2009
"1228","Voyageur Academy (82940)","6-Year",2012,89,73,-1,17,0.809,0.191,2014,2008
"1229","W-A-Y Academy (82746)","4-Year",2014,122,17,66,39,0.1393,0.3115,2014,2010
"1230","W-A-Y Academy (82746)","5-Year",2013,94,16,35,43,0.1702,0.4574,2014,2009
"1231","W-A-Y Academy (82746)","6-Year",2012,31,6,11,14,0.1613,0.4516,2014,2008
"1232","Allen Park Public Schools (82020)","4-Year",2015,290,255,12,23,0.8759,0.0759,2015,2011
"1233","Allen Park Public Schools (82020)","5-Year",2014,350,314,2,34,0.8971,0.0971,2015,2010
"1234","Allen Park Public Schools (82020)","6-Year",2013,305,280,3,22,0.918,0.0689,2015,2009
"1235","Crestwood School District (82230)","4-Year",2015,330,311,9,10,0.9394,0.0303,2015,2011
"1236","Crestwood School District (82230)","5-Year",2014,319,308,2,9,0.9624,0.0282,2015,2010
"1237","Crestwood School District (82230)","6-Year",2013,290,284,-1,7,0.9793,0.0207,2015,2009
"1238","Dearborn City School District (82030)","4-Year",2015,1383,1244,86,53,0.8988,0.0383,2015,2011
"1239","Dearborn City School District (82030)","5-Year",2014,1422,1278,34,110,0.8987,0.0767,2015,2010
"1240","Dearborn City School District (82030)","6-Year",2013,1463,1321,23,119,0.9029,0.0807,2015,2009
"1241","Dearborn Heights School District #7 (82040)","4-Year",2015,165,141,15,9,0.8545,0.0485,2015,2011
"1242","Dearborn Heights School District #7 (82040)","5-Year",2014,185,154,5,26,0.8324,0.1405,2015,2010
"1243","Dearborn Heights School District #7 (82040)","6-Year",2013,181,149,0,32,0.8177,0.1713,2015,2009
"1244","Detroit City School District (82010)","4-Year",2015,3303,2555,369,379,0.7735,0.1147,2015,2011
"1245","Detroit City School District (82010)","5-Year",2014,3276,2546,170,560,0.7769,0.1709,2015,2010
"1246","Detroit City School District (82010)","6-Year",2013,4017,2861,191,965,0.7122,0.24,2015,2009
"1247","Ecorse Public Schools (82250)","4-Year",2015,109,60,23,26,0.5413,0.2385,2015,2011
"1248","Ecorse Public Schools (82250)","5-Year",2014,112,77,7,28,0.6786,0.25,2015,2010
"1249","Ecorse Public Schools (82250)","6-Year",2013,137,92,2,43,0.6715,0.3066,2015,2009
"1250","Flat Rock Community Schools (82180)","4-Year",2015,152,133,11,8,0.875,0.0461,2015,2011
"1251","Flat Rock Community Schools (82180)","5-Year",2014,130,114,3,13,0.8769,0.1,2015,2010
"1252","Flat Rock Community Schools (82180)","6-Year",2013,151,141,0,10,0.9272,0.0662,2015,2009
"1253","Garden City Public Schools (82050)","4-Year",2015,477,352,82,43,0.7379,0.0901,2015,2011
"1254","Garden City Public Schools (82050)","5-Year",2014,548,399,40,109,0.7263,0.1971,2015,2010
"1255","Garden City Public Schools (82050)","6-Year",2013,624,468,26,130,0.7484,0.2083,2015,2009
"1256","Gibraltar School District (82290)","4-Year",2015,312,271,29,12,0.8654,0.0353,2015,2011
"1257","Gibraltar School District (82290)","5-Year",2014,280,259,1,20,0.925,0.0714,2015,2010
"1258","Gibraltar School District (82290)","6-Year",2013,285,260,2,23,0.9088,0.0807,2015,2009
"1259","Grosse Ile Township Schools (82300)","4-Year",2015,139,137,2,0,0.9856,0,2015,2011
"1260","Grosse Ile Township Schools (82300)","5-Year",2014,164,154,3,7,0.939,0.0366,2015,2010
"1261","Grosse Ile Township Schools (82300)","6-Year",2013,156,153,-1,4,0.9744,0.0256,2015,2009
"1262","Grosse Pointe Public Schools (82055)","4-Year",2015,732,696,28,8,0.9508,0.0096,2015,2011
"1263","Grosse Pointe Public Schools (82055)","5-Year",2014,747,714,15,18,0.9545,0.0228,2015,2010
"1264","Grosse Pointe Public Schools (82055)","6-Year",2013,731,696,15,20,0.9508,0.026,2015,2009
"1265","Hamtramck, School District of the City of (82060)","4-Year",2015,287,208,30,49,0.7247,0.1707,2015,2011
"1266","Hamtramck, School District of the City of (82060)","5-Year",2014,318,215,13,90,0.6761,0.283,2015,2010
"1267","Hamtramck, School District of the City of (82060)","6-Year",2013,312,190,5,117,0.6058,0.375,2015,2009
"1268","Harper Woods, The School District of the City of (82320)","4-Year",2015,335,144,87,104,0.4269,0.3075,2015,2011
"1269","Harper Woods, The School District of the City of (82320)","5-Year",2014,301,145,48,108,0.4817,0.3555,2015,2010
"1270","Harper Woods, The School District of the City of (82320)","6-Year",2013,282,144,20,118,0.5071,0.4184,2015,2009
"1271","Highland Park City Schools (82070)","6-Year",2013,33,2,-1,32,0.0606,0.9394,2015,2009
"1272","Huron School District (82340)","4-Year",2015,218,193,13,12,0.8853,0.0505,2015,2011
"1273","Huron School District (82340)","5-Year",2014,182,168,4,10,0.9176,0.0549,2015,2010
"1274","Huron School District (82340)","6-Year",2013,197,187,2,8,0.9492,0.0406,2015,2009
"1275","Lincoln Park, School District of the City of (82090)","4-Year",2015,350,279,37,34,0.7971,0.0971,2015,2011
"1276","Lincoln Park, School District of the City of (82090)","5-Year",2014,304,254,17,33,0.8355,0.1053,2015,2010
"1277","Lincoln Park, School District of the City of (82090)","6-Year",2013,343,281,16,46,0.8192,0.1341,2015,2009
"1278","Livonia Public Schools School District (82095)","4-Year",2015,1325,1212,72,41,0.914,0.0309,2015,2011
"1279","Livonia Public Schools School District (82095)","5-Year",2014,1341,1230,47,64,0.9165,0.047,2015,2010
"1280","Livonia Public Schools School District (82095)","6-Year",2013,1443,1347,35,61,0.9328,0.0416,2015,2009
"1281","Melvindale-North Allen Park Schools (82045)","4-Year",2015,189,183,2,4,0.963,0.0159,2015,2011
"1282","Melvindale-North Allen Park Schools (82045)","5-Year",2014,216,210,-1,7,0.9676,0.0324,2015,2010
"1283","Melvindale-North Allen Park Schools (82045)","6-Year",2013,194,191,-1,4,0.9794,0.0155,2015,2009
"1284","Northville Public Schools (82390)","4-Year",2015,557,533,14,10,0.9569,0.0162,2015,2011
"1285","Northville Public Schools (82390)","5-Year",2014,595,569,18,8,0.9563,0.0118,2015,2010
"1286","Northville Public Schools (82390)","6-Year",2013,555,531,18,6,0.955,0.0108,2015,2009
"1287","Plymouth-Canton Community Schools (82100)","4-Year",2015,1518,1360,118,40,0.8959,0.0257,2015,2011
"1288","Plymouth-Canton Community Schools (82100)","5-Year",2014,1553,1417,49,87,0.9124,0.056,2015,2010
"1289","Plymouth-Canton Community Schools (82100)","6-Year",2013,1651,1504,36,111,0.9104,0.0672,2015,2009
"1290","Redford Union Schools, District No. 1 (82110)","4-Year",2015,311,164,103,44,0.5273,0.1383,2015,2011
"1291","Redford Union Schools, District No. 1 (82110)","5-Year",2014,374,243,48,83,0.6471,0.2219,2015,2010
"1292","Redford Union Schools, District No. 1 (82110)","6-Year",2013,339,221,9,109,0.6519,0.3215,2015,2009
"1293","River Rouge, School District of the City of (82120)","4-Year",2015,149,114,11,24,0.7651,0.1544,2015,2011
"1294","River Rouge, School District of the City of (82120)","5-Year",2014,173,140,3,30,0.8035,0.1734,2015,2010
"1295","River Rouge, School District of the City of (82120)","6-Year",2013,115,92,1,22,0.8,0.1913,2015,2009
"1296","Riverview Community School District (82400)","4-Year",2015,224,212,2,10,0.942,0.0402,2015,2011
"1297","Riverview Community School District (82400)","5-Year",2014,230,224,-1,7,0.9739,0.0261,2015,2010
"1298","Riverview Community School District (82400)","6-Year",2013,228,224,-1,5,0.9781,0.0219,2015,2009
"1299","Romulus Community Schools (82130)","4-Year",2015,241,171,37,33,0.7095,0.1328,2015,2011
"1300","Romulus Community Schools (82130)","5-Year",2014,284,213,10,61,0.75,0.2113,2015,2010
"1301","Romulus Community Schools (82130)","6-Year",2013,279,198,15,66,0.7061,0.233,2015,2009
"1302","School District of the City of Inkster (82080)","4-Year",2015,12,0,0,12,0,0.9167,2015,2011
"1303","School District of the City of Inkster (82080)","5-Year",2014,40,5,0,35,0.125,0.875,2015,2010
"1304","School District of the City of Inkster (82080)","6-Year",2013,270,209,1,60,0.7704,0.2222,2015,2009
"1305","South Redford School District (82140)","4-Year",2015,251,213,20,18,0.8486,0.0717,2015,2011
"1306","South Redford School District (82140)","5-Year",2014,238,221,4,13,0.9244,0.0546,2015,2010
"1307","South Redford School District (82140)","6-Year",2013,251,231,6,14,0.9203,0.0518,2015,2009
"1308","Southgate Community School District (82405)","4-Year",2015,583,301,113,169,0.5146,0.2882,2015,2011
"1309","Southgate Community School District (82405)","5-Year",2014,684,365,62,257,0.5322,0.3743,2015,2010
"1310","Southgate Community School District (82405)","6-Year",2013,765,340,68,357,0.4444,0.4654,2015,2009
"1311","Taylor School District (82150)","4-Year",2015,687,508,107,72,0.7394,0.1048,2015,2011
"1312","Taylor School District (82150)","5-Year",2014,618,469,44,105,0.7573,0.1699,2015,2010
"1313","Taylor School District (82150)","6-Year",2013,601,504,18,79,0.8386,0.1298,2015,2009
"1314","Trenton Public Schools (82155)","4-Year",2015,219,212,3,4,0.968,0.0137,2015,2011
"1315","Trenton Public Schools (82155)","5-Year",2014,228,219,6,3,0.9605,0.0088,2015,2010
"1316","Trenton Public Schools (82155)","6-Year",2013,219,210,1,8,0.9589,0.032,2015,2009
"1317","Van Buren Public Schools (82430)","4-Year",2015,452,389,22,41,0.8606,0.0885,2015,2011
"1318","Van Buren Public Schools (82430)","5-Year",2014,420,364,12,44,0.8643,0.1024,2015,2010
"1319","Van Buren Public Schools (82430)","6-Year",2013,411,357,5,49,0.8662,0.1192,2015,2009
"1320","Wayne-Westland Community School District (82160)","4-Year",2015,1012,774,109,129,0.7648,0.1265,2015,2011
"1321","Wayne-Westland Community School District (82160)","5-Year",2014,1006,782,47,177,0.7773,0.1759,2015,2010
"1322","Wayne-Westland Community School District (82160)","6-Year",2013,1006,763,31,212,0.7584,0.2107,2015,2009
"1323","Westwood Community School District (82240)","4-Year",2015,375,158,97,120,0.4213,0.32,2015,2011
"1324","Westwood Community School District (82240)","5-Year",2014,374,173,61,140,0.4599,0.3743,2015,2010
"1325","Westwood Community School District (82240)","6-Year",2013,511,238,30,243,0.4638,0.4755,2015,2009
"1326","Woodhaven-Brownstown School District (82365)","4-Year",2015,410,331,50,29,0.8049,0.0707,2015,2011
"1327","Woodhaven-Brownstown School District (82365)","5-Year",2014,340,287,14,39,0.8412,0.1147,2015,2010
"1328","Woodhaven-Brownstown School District (82365)","6-Year",2013,420,372,1,47,0.8857,0.1119,2015,2009
"1329","Wyandotte, School District of the City of (82170)","4-Year",2015,348,276,47,25,0.7931,0.069,2015,2011
"1330","Wyandotte, School District of the City of (82170)","5-Year",2014,360,295,39,26,0.8167,0.0722,2015,2010
"1331","Wyandotte, School District of the City of (82170)","6-Year",2013,333,295,20,18,0.8829,0.0511,2015,2009
"1332","Academy for Business and Technology (82921)","4-Year",2015,61,47,5,9,0.7541,0.1475,2015,2011
"1333","Academy for Business and Technology (82921)","5-Year",2014,55,47,-1,9,0.8364,0.1636,2015,2010
"1334","Academy for Business and Technology (82921)","6-Year",2013,70,60,0,10,0.8571,0.1286,2015,2009
"1335","Advanced Technology Academy (63914)","4-Year",2015,90,72,14,4,0.8,0.0444,2015,2011
"1336","Advanced Technology Academy (63914)","5-Year",2014,101,95,-1,7,0.9307,0.0693,2015,2010
"1337","Advanced Technology Academy (63914)","6-Year",2013,112,109,-1,4,0.9732,0.0268,2015,2009
"1338","Aisha Shule/WEB Dubois Prep. Academy School (82903)","6-Year",2013,16,12,0,4,0.75,0.25,2015,2009
"1339","Allen Academy (82955)","4-Year",2015,52,37,7,8,0.7115,0.1538,2015,2011
"1340","Allen Academy (82955)","5-Year",2014,64,56,1,7,0.875,0.0938,2015,2010
"1341","Allen Academy (82955)","6-Year",2013,38,32,0,6,0.8421,0.1316,2015,2009
"1342","Casa Richard Academy (82902)","5-Year",2014,20,12,0,8,0.6,0.4,2015,2010
"1343","Casa Richard Academy (82902)","6-Year",2013,29,20,0,9,0.6552,0.3103,2015,2009
"1344","Cesar Chavez Academy (82918)","4-Year",2015,164,146,5,13,0.8902,0.0732,2015,2011
"1345","Cesar Chavez Academy (82918)","5-Year",2014,179,158,1,20,0.8771,0.1117,2015,2010
"1346","Cesar Chavez Academy (82918)","6-Year",2013,151,134,0,17,0.8808,0.106,2015,2009
"1347","Chandler Park Academy (82923)","4-Year",2015,148,136,3,9,0.9122,0.0541,2015,2011
"1348","Chandler Park Academy (82923)","5-Year",2014,147,146,-1,2,0.9864,0.0136,2015,2010
"1349","Chandler Park Academy (82923)","6-Year",2013,146,140,-1,7,0.9521,0.0479,2015,2009
"1350","Covenant House Academy Detroit (82991)","4-Year",2015,255,14,97,144,0.0549,0.5647,2015,2011
"1351","Covenant House Academy Detroit (82991)","5-Year",2014,331,68,65,198,0.2054,0.5952,2015,2010
"1352","Covenant House Academy Detroit (82991)","6-Year",2013,376,74,55,247,0.1968,0.6569,2015,2009
"1353","Covenant House Academy East (82990)","4-Year",2015,11,1,0,10,0.0909,0.8182,2015,2011
"1354","Covenant House Academy East (82990)","5-Year",2014,11,0,0,11,0,1,2015,2010
"1355","Covenant House Academy East (82990)","6-Year",2013,62,12,1,49,0.1935,0.7742,2015,2009
"1356","Covenant House Academy Southwest (82989)","5-Year",2014,35,3,1,31,0.0857,0.8857,2015,2010
"1357","Covenant House Academy Southwest (82989)","6-Year",2013,75,9,0,66,0.12,0.8667,2015,2009
"1358","Detroit Community Schools (82925)","4-Year",2015,105,93,0,12,0.8762,0.1048,2015,2011
"1359","Detroit Community Schools (82925)","5-Year",2014,107,92,1,14,0.8598,0.1215,2015,2010
"1360","Detroit Community Schools (82925)","6-Year",2013,117,107,-1,11,0.9145,0.0855,2015,2009
"1361","Detroit Edison Public School Academy (82945)","4-Year",2015,85,81,0,4,0.9529,0.0353,2015,2011
"1362","Detroit Edison Public School Academy (82945)","5-Year",2014,96,92,2,2,0.9583,0.0208,2015,2010
"1363","Frontier International Academy (82987)","4-Year",2015,98,98,0,0,0.9898,0,2015,2011
"1364","Frontier International Academy (82987)","5-Year",2014,88,87,-1,2,0.9773,0.0114,2015,2010
"1365","Frontier International Academy (82987)","6-Year",2013,72,72,0,0,1,0,2015,2009
"1366","HEART Academy (82927)","5-Year",2014,15,14,-1,2,0.8667,0.1333,2015,2010
"1367","HEART Academy (82927)","6-Year",2013,25,22,0,3,0.88,0.12,2015,2009
"1368","Henry Ford Academy (82926)","4-Year",2015,100,93,4,3,0.93,0.03,2015,2011
"1369","Henry Ford Academy (82926)","5-Year",2014,112,106,1,5,0.9464,0.0446,2015,2010
"1370","Henry Ford Academy (82926)","6-Year",2013,118,117,-1,2,0.9915,0.0085,2015,2009
"1371","Henry Ford Academy: School for Creative Studies (PSAD) (82703)","4-Year",2015,105,101,3,1,0.9619,0.0095,2015,2011
"1372","Henry Ford Academy: School for Creative Studies (PSAD) (82703)","5-Year",2014,87,78,0,9,0.8851,0.092,2015,2010
"1373","Henry Ford Academy: School for Creative Studies (PSAD) (82703)","6-Year",2013,87,75,0,12,0.8506,0.1379,2015,2009
"1374","Highland Park Public School Academy System (82749)","4-Year",2015,73,55,2,16,0.7534,0.2055,2015,2011
"1375","Highland Park Public School Academy System (82749)","5-Year",2014,53,46,-1,8,0.8491,0.1509,2015,2010
"1376","Highland Park Public School Academy System (82749)","6-Year",2013,82,68,0,14,0.8171,0.1707,2015,2009
"1377","Jalen Rose Leadership Academy (82728)","4-Year",2015,94,89,2,3,0.9468,0.0213,2015,2011
"1378","Life Skills Center of Metropolitan Detroit (82978)","6-Year",2013,11,0,0,11,0,1,2015,2009
"1379","Marvin L. Winans Academy of Performing Arts (82924)","4-Year",2015,39,35,1,3,0.8718,0.0769,2015,2011
"1380","Marvin L. Winans Academy of Performing Arts (82924)","5-Year",2014,63,54,-1,10,0.8571,0.1429,2015,2010
"1381","Marvin L. Winans Academy of Performing Arts (82924)","6-Year",2013,35,30,-1,6,0.8286,0.1714,2015,2009
"1382","Oakland International Academy (63912)","4-Year",2015,57,49,8,0,0.8596,0,2015,2011
"1383","Oakland International Academy (63912)","5-Year",2014,52,46,-1,7,0.8654,0.1154,2015,2010
"1384","Oakland International Academy (63912)","6-Year",2013,31,26,1,4,0.8387,0.129,2015,2009
"1385","Old Redford Academy (82956)","4-Year",2015,203,166,18,19,0.8177,0.0887,2015,2011
"1386","Old Redford Academy (82956)","5-Year",2014,170,141,3,26,0.8294,0.1529,2015,2010
"1387","Old Redford Academy (82956)","6-Year",2013,158,145,-1,14,0.9177,0.0823,2015,2009
"1388","Pathways Academy (82737)","4-Year",2015,28,0,21,7,0,0.25,2015,2011
"1389","Pathways Academy (82737)","5-Year",2014,17,0,12,5,0,0.2353,2015,2010
"1390","Pathways Academy (82737)","6-Year",2013,17,0,9,8,0,0.4118,2015,2009
"1391","Plymouth Educational Center Charter School (82904)","4-Year",2015,78,67,1,10,0.8462,0.1282,2015,2011
"1392","Plymouth Educational Center Charter School (82904)","5-Year",2014,98,91,0,7,0.9184,0.0714,2015,2010
"1393","Plymouth Educational Center Charter School (82904)","6-Year",2013,110,98,-1,13,0.8909,0.1091,2015,2009
"1394","Regents Academy (82759)","4-Year",2015,19,4,11,4,0.1579,0.2105,2015,2011
"1395","Regents Academy (82759)","5-Year",2014,12,1,8,3,0.0833,0.25,2015,2010
"1396","Riverside Academy (82975)","4-Year",2015,73,70,1,2,0.9589,0.0137,2015,2011
"1397","Riverside Academy (82975)","5-Year",2014,68,64,-1,5,0.9265,0.0735,2015,2010
"1398","Riverside Academy (82975)","6-Year",2013,52,49,0,3,0.9231,0.0385,2015,2009
"1399","Star International Academy (82941)","4-Year",2015,88,87,1,0,0.9886,0,2015,2011
"1400","Star International Academy (82941)","5-Year",2014,69,69,0,0,1,0,2015,2010
"1401","Star International Academy (82941)","6-Year",2013,72,72,0,0,1,0,2015,2009
"1402","Summit Academy North (82938)","4-Year",2015,133,130,-1,4,0.9774,0.0226,2015,2011
"1403","Summit Academy North (82938)","5-Year",2014,167,164,-1,4,0.982,0.018,2015,2010
"1404","Summit Academy North (82938)","6-Year",2013,138,136,-1,3,0.9783,0.0217,2015,2009
"1405","Trillium Academy (82973)","4-Year",2015,43,42,1,0,0.9767,0,2015,2011
"1406","Trillium Academy (82973)","5-Year",2014,42,41,0,1,0.9524,0.0238,2015,2010
"1407","Trillium Academy (82973)","6-Year",2013,35,35,0,0,1,0,2015,2009
"1408","Universal Academy (82950)","4-Year",2015,58,58,0,0,0.9828,0,2015,2011
"1409","Universal Academy (82950)","5-Year",2014,56,53,-1,4,0.9464,0.0536,2015,2010
"1410","Universal Academy (82950)","6-Year",2013,53,49,-1,5,0.9245,0.0755,2015,2009
"1411","University Preparatory Academy (PSAD) (82702)","4-Year",2015,120,111,2,7,0.9167,0.0583,2015,2011
"1412","University Preparatory Academy (PSAD) (82702)","5-Year",2014,126,118,0,8,0.9365,0.0556,2015,2010
"1413","University Preparatory Academy (PSAD) (82702)","6-Year",2013,119,116,-1,4,0.9664,0.0336,2015,2009
"1414","University Preparatory Science and Math (PSAD) (82701)","4-Year",2015,123,116,0,7,0.935,0.0488,2015,2011
"1415","University Preparatory Science and Math (PSAD) (82701)","5-Year",2014,83,79,-1,5,0.9518,0.0482,2015,2010
"1416","Vista Meadows Academy (82716)","4-Year",2015,26,15,7,4,0.5769,0.1154,2015,2011
"1417","Vista Meadows Academy (82716)","5-Year",2014,28,16,0,12,0.5714,0.3929,2015,2010
"1418","Vista Meadows Academy (82716)","6-Year",2013,35,20,-1,16,0.5429,0.4286,2015,2009
"1419","Voyageur Academy (82940)","4-Year",2015,95,68,12,15,0.7053,0.1474,2015,2011
"1420","Voyageur Academy (82940)","5-Year",2014,106,98,-1,9,0.9151,0.0849,2015,2010
"1421","Voyageur Academy (82940)","6-Year",2013,86,82,-1,5,0.9419,0.0581,2015,2009
"1422","W-A-Y Academy (82746)","4-Year",2015,153,14,64,75,0.0915,0.4837,2015,2011
"1423","W-A-Y Academy (82746)","5-Year",2014,133,20,37,76,0.1429,0.5714,2015,2010
"1424","W-A-Y Academy (82746)","6-Year",2013,83,19,10,54,0.2169,0.6506,2015,2009
"1425","WAY Michigan (82710)","4-Year",2015,12,3,5,4,0.25,0.3333,2015,2011
"1426","WAY Michigan (82710)","5-Year",2014,10,0,8,2,0,0.2,2015,2010
