"","Location.Name","Rate.Year","Cohort.Graduation.Year","Total.Cohort","Total.Graduated","OffTrack.Other","Dropouts","Graduation.Rate","Dropout.Rate","gradyear","enrollyear"
"770","Covenant House Academy East (82990)","4-Year",2012,108,19,53,36,0.1667,0.3241,2012,2008
"771","Covenant House Academy East (82990)","5-Year",2011,134,18,31,85,0.1343,0.6343,2012,2007
"772","Covenant House Academy East (82990)","6-Year",2010,156,37,17,102,0.2308,0.6538,2012,2006
"773","Covenant House Academy Southwest (82989)","4-Year",2012,113,7,41,65,0.0531,0.5752,2012,2008
"774","Covenant House Academy Southwest (82989)","5-Year",2011,144,10,30,104,0.0694,0.7222,2012,2007
"775","Covenant House Academy Southwest (82989)","6-Year",2010,143,14,10,119,0.0979,0.8252,2012,2006
"776","Detroit Academy of Arts and Sciences (82929)","4-Year",2012,20,1,0,19,0.05,0.95,2012,2008
"777","Detroit Academy of Arts and Sciences (82929)","5-Year",2011,149,121,0,28,0.8054,0.1879,2012,2007
"778","Detroit Academy of Arts and Sciences (82929)","6-Year",2010,145,112,-1,34,0.7724,0.2276,2012,2006
"779","Detroit Community Schools (82925)","4-Year",2012,135,112,4,19,0.8296,0.1407,2012,2008
"780","Detroit Community Schools (82925)","5-Year",2011,128,112,-1,17,0.8672,0.1328,2012,2007
"781","Detroit Community Schools (82925)","6-Year",2010,110,94,-1,17,0.8545,0.1455,2012,2006
"782","Detroit Midtown Academy (82964)","4-Year",2012,95,72,11,12,0.7474,0.1263,2012,2008
"783","Detroit Midtown Academy (82964)","5-Year",2011,72,57,1,14,0.7778,0.1806,2012,2007
"784","Detroit Midtown Academy (82964)","6-Year",2010,70,60,-1,11,0.8571,0.1429,2012,2006
"785","Frontier International Academy (82987)","4-Year",2012,53,48,2,3,0.8868,0.0566,2012,2008
"786","Frontier International Academy (82987)","5-Year",2011,49,46,0,3,0.9184,0.0612,2012,2007
"787","Frontier International Academy (82987)","6-Year",2010,42,42,0,0,1,0,2012,2006
"788","George Crockett Academy (82937)","4-Year",2012,12,7,2,3,0.5833,0.1667,2012,2008
"789","George Crockett Academy (82937)","6-Year",2010,10,10,0,0,1,0,2012,2006
"790","HEART Academy (82927)","4-Year",2012,48,42,0,6,0.875,0.125,2012,2008
"791","HEART Academy (82927)","5-Year",2011,42,33,0,9,0.7857,0.1905,2012,2007
"792","HEART Academy (82927)","6-Year",2010,30,30,-1,1,0.9667,0.0333,2012,2006
"793","Henry Ford Academy (82926)","4-Year",2012,106,98,5,3,0.9151,0.0189,2012,2008
"794","Henry Ford Academy (82926)","5-Year",2011,99,90,-1,10,0.899,0.101,2012,2007
"795","Henry Ford Academy (82926)","6-Year",2010,117,105,-1,13,0.8889,0.1026,2012,2006
