"","ENROLL_YEAR","ZIP","NUM_SCHOOLS","NUM_COHORT","NUM_GRADUATES","NUM_DROPOUTS","COHORT_GRAD_YEAR","GRAD_RATE","DROP_RATE"
"171",2006,48180,2,799,648,114,2010,0.811013767209011,0.142678347934919
"172",2007,48180,2,729,557,120,2011,0.764060356652949,0.164609053497942
"173",2008,48180,2,727,549,144,2012,0.75515818431912,0.198074277854195
"174",2009,48180,2,652,539,81,2013,0.826687116564417,0.124233128834356
"175",2010,48180,2,671,510,107,2014,0.760059612518629,0.15946348733234
"176",2011,48180,2,730,550,72,2015,0.753424657534247,0.0986301369863014
"177",2003,48183,3,859,779,82,2007,0.906868451688009,0.0954598370197905
"178",2004,48183,3,921,848,69,2008,0.920738327904452,0.0749185667752443
"179",2005,48183,3,945,841,84,2009,0.88994708994709,0.0888888888888889
"180",2006,48183,3,959,841,83,2010,0.876955161626695,0.086548488008342
"181",2007,48183,3,898,784,67,2011,0.873051224944321,0.0746102449888641
"182",2008,48183,3,921,816,69,2012,0.885993485342019,0.0749185667752443
"183",2009,48183,3,941,842,81,2013,0.894792773645058,0.0860786397449522
"184",2010,48183,3,861,765,62,2014,0.888501742160279,0.0720092915214866
"185",2011,48183,3,941,814,45,2015,0.865037194473964,0.0478214665249734
"186",2003,48185,1,1079,840,213,2007,0.778498609823911,0.19740500463392
"187",2004,48185,1,1095,860,195,2008,0.785388127853881,0.178082191780822
"188",2005,48185,1,1179,906,229,2009,0.768447837150127,0.194232400339271
"189",2006,48185,1,1130,823,271,2010,0.728318584070796,0.239823008849558
"190",2007,48185,1,1048,794,209,2011,0.75763358778626,0.199427480916031
"191",2008,48185,1,1058,801,224,2012,0.757088846880907,0.2117202268431
"192",2009,48185,1,1006,763,212,2013,0.75844930417495,0.210735586481113
"193",2010,48185,1,1006,782,177,2014,0.777335984095427,0.175944333996024
"194",2011,48185,1,1012,774,129,2015,0.764822134387352,0.127470355731225
"195",2003,48192,1,408,340,32,2007,0.833333333333333,0.0784313725490196
"196",2004,48192,1,370,300,32,2008,0.810810810810811,0.0864864864864865
"197",2005,48192,1,368,299,28,2009,0.8125,0.0760869565217391
"198",2006,48192,1,370,282,33,2010,0.762162162162162,0.0891891891891892
"199",2007,48192,1,353,271,17,2011,0.767705382436261,0.0481586402266289
"200",2008,48192,1,307,255,20,2012,0.830618892508143,0.0651465798045603
"201",2009,48192,1,349,295,18,2013,0.845272206303725,0.0515759312320917
"202",2010,48192,1,371,295,26,2014,0.795148247978437,0.0700808625336927
"203",2011,48192,1,348,276,25,2015,0.793103448275862,0.0718390804597701
"204",2003,48193,1,232,220,12,2007,0.948275862068966,0.0517241379310345
"205",2004,48193,1,231,219,12,2008,0.948051948051948,0.051948051948052
"206",2005,48193,1,227,209,11,2009,0.920704845814978,0.0484581497797357
"207",2006,48193,1,233,209,13,2010,0.896995708154506,0.055793991416309
"208",2007,48193,1,216,201,10,2011,0.930555555555556,0.0462962962962963
"209",2008,48193,1,206,191,10,2012,0.927184466019418,0.0485436893203883
"210",2009,48193,1,234,224,6,2013,0.957264957264957,0.0256410256410256
"211",2010,48193,1,231,224,7,2014,0.96969696969697,0.0303030303030303
"212",2011,48193,1,224,212,10,2015,0.946428571428571,0.0446428571428571
"213",2003,48195,1,859,454,311,2007,0.528521536670547,0.362048894062864
"214",2004,48195,1,955,486,332,2008,0.508900523560209,0.347643979057592
"215",2005,48195,1,953,495,297,2009,0.519412381951731,0.311647429171039
"216",2006,48195,1,941,461,361,2010,0.48990435706695,0.383634431455898
"217",2007,48195,1,895,444,366,2011,0.49608938547486,0.408938547486034
"218",2008,48195,1,869,416,379,2012,0.478711162255466,0.436133486766398
"219",2009,48195,1,765,340,357,2013,0.444444444444444,0.466666666666667
"220",2010,48195,1,684,365,257,2014,0.533625730994152,0.375730994152047
"221",2011,48195,1,583,301,169,2015,0.516295025728988,0.289879931389365
"222",2003,48202,3,9523,6221,3092,2007,0.653260527144807,0.324687598445868
"223",2004,48202,4,9699,6423,2905,2008,0.662233219919579,0.299515413960202
"224",2005,48202,3,8989,5843,2526,2009,0.650016687061965,0.281010123484259
"225",2006,48202,3,8149,5360,2080,2010,0.657749417106393,0.255246042459197
"226",2007,48202,3,7471,4762,1814,2011,0.637397938696292,0.242805514656672
"227",2008,48202,3,6083,4148,1340,2012,0.68190037810291,0.220286043070853
"228",2009,48202,3,4338,3052,981,2013,0.703550023052098,0.226141078838174
"229",2010,48202,4,3615,2822,628,2014,0.780636237897649,0.17372060857538
"230",2011,48202,4,3651,2883,394,2015,0.789646672144618,0.107915639550808
"231",2003,48203,1,739,266,459,2007,0.359945872801083,0.621109607577808
"232",2004,48203,1,751,295,413,2008,0.392809587217044,0.549933422103862
"233",2005,48203,1,584,216,262,2009,0.36986301369863,0.448630136986301
"234",2006,48203,1,383,153,179,2010,0.399477806788512,0.467362924281984
"235",2007,48203,1,305,113,165,2011,0.370491803278689,0.540983606557377
"236",2008,48203,2,194,91,87,2012,0.469072164948454,0.448453608247423
"237",2009,48203,2,132,71,56,2013,0.537878787878788,0.424242424242424
"238",2010,48203,1,54,46,8,2014,0.851851851851852,0.148148148148148
"239",2011,48203,1,73,55,16,2015,0.753424657534247,0.219178082191781
"240",2003,48204,1,20,17,2,2007,0.85,0.1
"241",2004,48204,1,32,2,30,2008,0.0625,0.9375
"242",2005,48204,1,38,36,4,2009,0.947368421052632,0.105263157894737
"243",2006,48204,1,64,56,9,2010,0.875,0.140625
"244",2007,48204,1,51,44,8,2011,0.862745098039216,0.156862745098039
"245",2008,48204,1,49,48,3,2012,0.979591836734694,0.0612244897959184
"246",2009,48204,1,38,32,7,2013,0.842105263157895,0.184210526315789
"247",2010,48204,1,66,57,7,2014,0.863636363636364,0.106060606060606
"248",2011,48204,1,52,37,8,2015,0.711538461538462,0.153846153846154
"249",2003,48207,2,394,188,196,2007,0.477157360406091,0.49746192893401
"250",2004,48207,3,422,205,201,2008,0.485781990521327,0.476303317535545
"251",2005,48207,3,455,197,222,2009,0.432967032967033,0.487912087912088
"252",2006,48207,3,350,148,149,2010,0.422857142857143,0.425714285714286
"253",2007,48207,3,241,139,93,2011,0.576763485477178,0.385892116182573
"254",2008,48207,3,161,129,31,2012,0.801242236024845,0.192546583850932
"255",2009,48207,2,125,99,25,2013,0.792,0.2
"256",2010,48207,2,197,183,9,2014,0.928934010152284,0.0456852791878173
"257",2011,48207,2,163,148,14,2015,0.907975460122699,0.0858895705521472
"258",2003,48208,1,83,15,59,2007,0.180722891566265,0.710843373493976
"259",2004,48208,1,160,23,118,2008,0.14375,0.7375
"260",2005,48208,2,234,48,162,2009,0.205128205128205,0.692307692307692
"261",2006,48208,2,218,49,144,2010,0.224770642201835,0.660550458715596
"262",2007,48208,1,210,54,135,2011,0.257142857142857,0.642857142857143
