"","YEAR","ZIP","NUM_CRIMES"
"546","2017",48238,323
"547","2009",48239,1017
"548","2010",48239,1034
"549","2011",48239,1014
"550","2012",48239,1050
"551","2013",48239,1172
"552","2014",48239,1066
"553","2015",48239,1034
"554","2016",48239,987
"555","2017",48239,62
"556","2009",48240,1285
"557","2010",48240,1033
"558","2011",48240,1002
"559","2012",48240,978
"560","2013",48240,933
"561","2014",48240,941
"562","2015",48240,958
"563","2016",48240,916
"564","2017",48240,35
"565","2009",48242,2
"566","2010",48242,2
"567","2011",48242,2
"568","2013",48242,5
"569","2015",48242,3
"570","2016",48242,2
"571","2009",48243,241
"572","2010",48243,336
"573","2011",48243,404
"574","2012",48243,324
"575","2013",48243,268
"576","2014",48243,327
"577","2015",48243,330
"578","2016",48243,396
"579","2017",48243,25
