Location Name,Rate Year,Cohort Graduation Year,Total Cohort,Total Graduated,"Other Completer (GED, etc.)",Off-Track Continuing,Dropouts,Graduation Rate,Dropout Rate
Michigan Health Academy (82917),5-Year,2013,<10,<10,<10,<10,<10,N/A,N/A
Michigan Health Academy (82917),6-Year,2012,10,<10,<10,<10,10,N/A,N/A
Michigan Technical Academy (82907),5-Year,2013,<10,<10,<10,<10,<10,N/A,N/A
Michigan Technical Academy (82907),6-Year,2012,<10,<10,<10,<10,<10,0.00%,100.00%
Oakland International Academy (63912),4-Year,2014,51,43,<10,<10,<10,84.31%,15.69%
Oakland International Academy (63912),5-Year,2013,31,26,<10,<10,<10,83.87%,12.90%
Oakland International Academy (63912),6-Year,2012,22,22,<10,<10,<10,100.00%,0.00%
Old Redford Academy (82956),4-Year,2014,177,140,<10,24,11,79.10%,6.21%
Old Redford Academy (82956),5-Year,2013,157,144,<10,<10,10,91.72%,6.37%
Old Redford Academy (82956),6-Year,2012,180,164,<10,<10,15,91.11%,8.33%
Pierre Toussaint Academy (82939),5-Year,2013,<10,<10,<10,<10,<10,N/A,N/A
Plymouth Educational Center Charter School (82904),4-Year,2014,101,87,<10,<10,<10,86.14%,6.93%
Plymouth Educational Center Charter School (82904),5-Year,2013,111,98,<10,<10,12,88.29%,10.81%
Plymouth Educational Center Charter School (82904),6-Year,2012,116,111,<10,<10,<10,95.69%,4.31%
Riverside Academy (82975),4-Year,2014,68,62,<10,<10,<10,91.18%,4.41%
Riverside Academy (82975),5-Year,2013,52,48,<10,<10,<10,92.31%,3.85%
Riverside Academy (82975),6-Year,2012,51,50,<10,<10,<10,98.04%,1.96%
Ross-Hill Academy (82948),4-Year,2014,<10,<10,<10,<10,<10,N/A,N/A
Ross-Hill Academy (82948),5-Year,2013,<10,<10,<10,<10,<10,25.00%,75.00%
Ross-Hill Academy (82948),6-Year,2012,20,15,<10,<10,<10,75.00%,25.00%
Star International Academy (82941),4-Year,2014,70,68,<10,<10,<10,97.14%,1.43%
Star International Academy (82941),5-Year,2013,75,71,<10,<10,<10,94.67%,5.33%
Star International Academy (82941),6-Year,2012,72,66,<10,<10,<10,91.67%,8.33%
Summit Academy North (82938),4-Year,2014,170,162,<10,<10,<10,95.29%,2.35%
Summit Academy North (82938),5-Year,2013,139,135,<10,<10,<10,97.12%,2.88%
Summit Academy North (82938),6-Year,2012,139,136,<10,<10,<10,97.84%,2.16%
Trillium Academy (82973),4-Year,2014,45,39,<10,<10,<10,86.67%,4.44%
Trillium Academy (82973),5-Year,2013,36,35,<10,<10,<10,97.22%,2.78%
Trillium Academy (82973),6-Year,2012,50,49,<10,<10,<10,98.00%,2.00%
Universal Academy (82950),4-Year,2014,58,51,<10,<10,<10,87.93%,8.62%
Universal Academy (82950),5-Year,2013,55,49,<10,<10,<10,89.09%,10.91%
Universal Academy (82950),6-Year,2012,45,43,<10,<10,<10,95.56%,4.44%
University Preparatory Academy (PSAD) (82702),4-Year,2014,132,115,<10,<10,<10,87.12%,6.06%
University Preparatory Academy (PSAD) (82702),5-Year,2013,119,115,<10,<10,<10,96.64%,3.36%
University Preparatory Academy (PSAD) (82702),6-Year,2012,127,120,<10,<10,<10,94.49%,5.51%
University Preparatory Science and Math (PSAD) (82701),4-Year,2014,86,80,<10,<10,<10,93.02%,2.33%
Vista Meadows Academy (82716),4-Year,2014,28,15,<10,<10,<10,53.57%,32.14%
Vista Meadows Academy (82716),5-Year,2013,37,19,<10,<10,15,51.35%,40.54%
Vista Meadows Academy (82716),6-Year,2012,26,18,<10,<10,<10,69.23%,30.77%
Voyageur Academy (82940),4-Year,2014,105,96,<10,<10,<10,91.43%,6.67%
Voyageur Academy (82940),5-Year,2013,86,81,<10,<10,<10,94.19%,5.81%
Voyageur Academy (82940),6-Year,2012,89,72,<10,<10,17,80.90%,19.10%
W-A-Y Academy (82746),4-Year,2014,122,17,<10,67,38,13.93%,31.15%
W-A-Y Academy (82746),5-Year,2013,94,16,<10,35,43,17.02%,45.74%
W-A-Y Academy (82746),6-Year,2012,31,<10,<10,12,14,16.13%,45.16%
Weston Preparatory Academy (82943),5-Year,2013,<10,<10,<10,<10,<10,N/A,N/A
Weston Preparatory Academy (82943),6-Year,2012,<10,<10,<10,<10,<10,N/A,N/A
Some percentages may not add to 100% due to rounding.,,,,,,,,,
