"","YEAR","ZIP_CHAR","NUM_CRIMES","NUM_ASSAULT","NUM_LARCENY","NUM_BURGLARY","NUM_PROPERTY","NUM_AUTOTHEFT","NUM_TRAFFIC","NUM_FRAUD","NUM_ROBBERY","NUM_DRUGS","NUM_WEAPONS","NUM_ESCAPE","NUM_OBSTRUCT","NUM_CONDUCT","NUM_MURDER","NUM_AGG_ASSAULT"
"43",2009,48124,33,0,2,7,5,3,2,0,1,1,0,0,0,0,2,0
"44",2010,48124,19,2,4,1,2,2,1,1,0,0,0,0,0,0,2,3
"45",2011,48124,14,0,3,0,2,2,0,1,0,0,0,0,0,0,2,1
"46",2012,48124,25,0,4,1,1,0,6,1,1,1,0,0,0,0,2,2
"47",2013,48124,12,2,1,3,1,1,1,0,0,0,0,0,0,1,0,1
"48",2014,48124,11,0,0,0,0,1,4,2,0,1,0,0,0,0,0,0
"49",2015,48124,13,0,1,1,2,0,1,3,0,0,0,0,0,0,0,1
"50",2016,48124,10,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0
"51",2009,48125,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"52",2010,48125,5,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0
"53",2011,48125,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"54",2012,48125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",2013,48125,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"56",2014,48125,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"57",2015,48125,6,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0
"58",2016,48125,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"59",2009,48126,284,20,56,34,23,27,6,6,9,1,1,6,0,1,34,19
"60",2010,48126,279,30,33,32,18,22,13,5,13,7,2,7,2,4,41,14
"61",2011,48126,276,29,37,27,21,23,8,6,16,4,2,4,4,3,41,21
"62",2012,48126,251,43,27,23,25,21,5,6,10,10,2,9,1,0,18,17
"63",2013,48126,200,17,28,8,10,15,11,7,8,2,1,7,1,0,8,9
"64",2014,48126,202,26,13,11,16,15,21,11,11,4,0,4,1,3,0,9
"65",2015,48126,195,22,26,10,18,12,11,4,5,2,0,5,4,0,0,14
"66",2016,48126,201,30,15,6,19,12,17,6,6,7,5,1,3,0,0,14
"67",2017,48126,8,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1
"68",2009,48127,51,7,13,3,5,2,1,0,3,3,0,1,0,0,5,1
"69",2010,48127,59,6,11,4,7,3,0,2,2,0,0,4,0,0,6,6
"70",2011,48127,74,9,15,4,4,5,4,8,2,0,0,3,0,0,12,3
"71",2012,48127,89,14,13,8,5,7,2,5,2,0,1,1,1,0,12,6
"72",2013,48127,85,15,10,5,6,3,5,5,2,0,2,1,1,0,7,3
"73",2014,48127,71,12,8,2,6,5,5,3,3,1,1,2,1,1,0,2
"74",2015,48127,73,11,12,3,4,3,10,3,2,1,0,0,1,1,0,1
"75",2016,48127,45,5,4,3,3,1,2,3,1,1,0,2,1,0,0,2
"76",2017,48127,6,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1
"77",2009,48128,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"78",2010,48128,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"79",2011,48128,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"80",2012,48128,11,1,0,0,0,0,2,2,0,0,0,2,0,0,2,0
"81",2013,48128,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"82",2014,48128,13,0,0,0,0,1,8,0,0,0,0,1,3,0,0,0
"83",2015,48128,12,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0
"84",2016,48128,12,0,1,0,1,0,7,0,0,0,0,2,0,0,0,1
"85",2011,48133,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
