Location.Name,Rate.Year,Cohort.Graduation.Year,Total.Cohort,Total.Graduated,OffTrack.Other,Dropouts,Graduation.Rate,Dropout.Rate,gradyear,enrollyear,School.Name,ZIP.Code,Latitude,Longitude
Allen Academy (82955),6-Year,2007,20,17,1,2,0.85,0.1,2009,2003,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),4-Year,2012,48,46,-1,3,0.9583,0.0417,2012,2008,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),6-Year,2008,32,2,0,30,0.0625,0.9375,2010,2004,Allen Academy,48204,42.33168322,-83.04799903
Allen Academy (82955),4-Year,2013,38,32,0,6,0.8421,0.1316,2013,2009,Allen Academy,48204,42.33168322,-83.04799903
Allen Park Public Schools (82020),4-Year,2009,363,309,26,28,0.8512,0.0744,2009,2005,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),5-Year,2008,371,326,22,23,0.8787,0.0593,2009,2004,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),6-Year,2007,343,299,22,22,0.8717,0.0641,2009,2003,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),6-Year,2012,365,325,2,38,0.8904,0.1041,2014,2008,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),4-Year,2011,365,302,35,28,0.8247,0.074,2011,2007,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),4-Year,2015,290,255,12,23,0.8759,0.0759,2015,2011,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),4-Year,2010,333,278,25,30,0.8348,0.0871,2010,2006,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),5-Year,2009,364,318,9,37,0.8736,0.1016,2010,2005,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),6-Year,2008,366,329,17,20,0.8962,0.0546,2010,2004,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),4-Year,2012,374,312,21,41,0.8316,0.107,2012,2008,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),4-Year,2014,353,299,24,30,0.847,0.0822,2014,2010,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),5-Year,2013,307,281,1,25,0.9121,0.0782,2014,2009,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),6-Year,2013,305,280,3,22,0.918,0.0689,2015,2009,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),6-Year,2011,360,324,2,34,0.9,0.0917,2013,2007,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),5-Year,2011,362,321,4,37,0.8867,0.1022,2012,2007,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),5-Year,2014,350,314,2,34,0.8971,0.0971,2015,2010,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),6-Year,2010,327,290,2,35,0.8838,0.104,2012,2006,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),5-Year,2012,369,324,5,40,0.878,0.1057,2013,2008,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),6-Year,2009,362,319,4,39,0.8785,0.105,2011,2005,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),4-Year,2013,314,274,21,19,0.8726,0.0605,2013,2009,Allen Park Public Schools,48101,42.26392277,-83.2200486
Allen Park Public Schools (82020),5-Year,2010,328,287,6,35,0.872,0.1067,2011,2006,Allen Park Public Schools,48101,42.26392277,-83.2200486
Blanche Kelso Bruce Academy (82971),5-Year,2011,56,7,15,34,0.125,0.5893,2012,2007,Blanche Kelso Bruce Academy,48202,42.33168322,-83.04799903
Blanche Kelso Bruce Academy (82971),6-Year,2010,15,0,4,11,0,0.7333,2012,2006,Blanche Kelso Bruce Academy,48202,42.33168322,-83.04799903
Blanche Kelso Bruce Academy (82971),4-Year,2009,145,0,66,79,0,0.5448,2009,2005,Blanche Kelso Bruce Academy,48202,42.33168322,-83.04799903
Blanche Kelso Bruce Academy (82971),4-Year,2011,157,3,83,71,0.0191,0.4522,2011,2007,Blanche Kelso Bruce Academy,48202,42.33168322,-83.04799903
Blanche Kelso Bruce Academy (82971),5-Year,2010,104,3,22,79,0.0288,0.7596,2011,2006,Blanche Kelso Bruce Academy,48202,42.33168322,-83.04799903
Blanche Kelso Bruce Academy (82971),4-Year,2010,134,4,72,58,0.0224,0.4254,2010,2006,Blanche Kelso Bruce Academy,48202,42.33168322,-83.04799903
Blanche Kelso Bruce Academy (82971),4-Year,2012,77,12,43,22,0.1558,0.2857,2012,2008,Blanche Kelso Bruce Academy,48202,42.33168322,-83.04799903
Blanche Kelso Bruce Academy (82971),5-Year,2008,107,0,13,94,0,0.8692,2009,2004,Blanche Kelso Bruce Academy,48202,42.33168322,-83.04799903
Blanche Kelso Bruce Academy (82971),6-Year,2007,93,0,3,90,0,0.9677,2009,2003,Blanche Kelso Bruce Academy,48202,42.33168322,-83.04799903
Blanche Kelso Bruce Academy (82971),6-Year,2008,103,0,2,101,0,0.9709,2010,2004,Blanche Kelso Bruce Academy,48202,42.33168322,-83.04799903
