,ENROLL_YEAR,SCHOOL_NAME,COHORT_GRAD_YEAR,GRAD_YEAR,NUM_COHORT,NUM_GRADUATES,NUM_DROPOUTS,GRAD_RATE,DROP_RATE,ZIP,LATITUDE,LONGITUDE
132,2005,Dearborn City School District,2009,2011,1475,1226,216,0.831186441,0.146440678,48124,42.32207206,-83.17628924
133,2006,Dearborn City School District,2010,2012,1392,1163,200,0.835488506,0.143678161,48124,42.32207206,-83.17628924
134,2007,Dearborn City School District,2011,2013,1369,1118,196,0.816654492,0.143170197,48124,42.32207206,-83.17628924
135,2008,Dearborn City School District,2012,2014,1397,1210,148,0.866141732,0.105941303,48124,42.32207206,-83.17628924
136,2009,Dearborn City School District,2013,2015,1489,1321,119,0.887172599,0.079919409,48124,42.32207206,-83.17628924
137,2010,Dearborn City School District,2014,2015,1433,1278,110,0.891835311,0.076762038,48124,42.32207206,-83.17628924
138,2011,Dearborn City School District,2015,2015,1383,1244,53,0.899493854,0.038322487,48124,42.32207206,-83.17628924
139,2003,Dearborn Heights School District ,2007,2009,170,141,30,0.829411765,0.176470588,48125,42.27578,-83.239647
140,2004,Dearborn Heights School District ,2008,2010,155,121,33,0.780645161,0.212903226,48125,42.27578,-83.239647
141,2005,Dearborn Heights School District ,2009,2011,161,136,19,0.844720497,0.118012422,48125,42.27578,-83.239647
142,2006,Dearborn Heights School District ,2010,2012,171,148,20,0.865497076,0.116959064,48125,42.27578,-83.239647
143,2007,Dearborn Heights School District ,2011,2013,157,130,24,0.828025478,0.152866242,48125,42.27578,-83.239647
144,2008,Dearborn Heights School District ,2012,2014,193,159,28,0.823834197,0.14507772,48125,42.27578,-83.239647
145,2009,Dearborn Heights School District ,2013,2015,200,149,33,0.745,0.165,48125,42.27578,-83.239647
146,2010,Dearborn Heights School District ,2014,2015,198,154,26,0.777777778,0.131313131,48125,42.27578,-83.239647
147,2011,Dearborn Heights School District ,2015,2015,165,141,9,0.854545455,0.054545455,48125,42.27578,-83.239647
148,2003,Detroit Academy of Arts and Sciences,2007,2009,161,135,27,0.838509317,0.167701863,48207,42.33168322,-83.04799903
149,2004,Detroit Academy of Arts and Sciences,2008,2010,175,152,23,0.868571429,0.131428571,48207,42.33168322,-83.04799903
150,2005,Detroit Academy of Arts and Sciences,2009,2011,194,143,40,0.737113402,0.206185567,48207,42.33168322,-83.04799903
151,2006,Detroit Academy of Arts and Sciences,2010,2012,153,113,37,0.738562092,0.241830065,48207,42.33168322,-83.04799903
152,2007,Detroit Academy of Arts and Sciences,2011,2013,165,121,35,0.733333333,0.212121212,48207,42.33168322,-83.04799903
153,2008,Detroit Academy of Arts and Sciences,2012,2014,20,1,19,0.05,0.95,48207,42.33168322,-83.04799903
154,2003,Detroit City School District,2007,2009,9292,6093,2993,0.655725355,0.322105037,48202,42.33168322,-83.04799903
155,2004,Detroit City School District,2008,2010,9348,6179,2804,0.660997005,0.29995721,48202,42.33168322,-83.04799903
156,2005,Detroit City School District,2009,2011,8709,5714,2407,0.656102882,0.276380756,48202,42.33168322,-83.04799903
157,2006,Detroit City School District,2010,2012,7895,5242,1998,0.663964535,0.253071564,48202,42.33168322,-83.04799903
158,2007,Detroit City School District,2011,2013,7193,4637,1742,0.644654525,0.242179897,48202,42.33168322,-83.04799903
159,2008,Detroit City School District,2012,2014,5877,4015,1310,0.683171686,0.222902842,48202,42.33168322,-83.04799903
160,2009,Detroit City School District,2013,2015,4130,2861,965,0.692736077,0.233656174,48202,42.33168322,-83.04799903
161,2010,Detroit City School District,2014,2015,3309,2546,606,0.769416742,0.183136899,48202,42.33168322,-83.04799903
162,2011,Detroit City School District,2015,2015,3303,2555,379,0.773539207,0.114744172,48202,42.33168322,-83.04799903
163,2003,Detroit Community Schools,2007,2009,102,89,12,0.87254902,0.117647059,48223,42.33168322,-83.04799903
164,2004,Detroit Community Schools,2008,2010,112,103,7,0.919642857,0.0625,48223,42.33168322,-83.04799903
165,2005,Detroit Community Schools,2009,2011,137,109,26,0.795620438,0.189781022,48223,42.33168322,-83.04799903
166,2006,Detroit Community Schools,2010,2012,117,95,18,0.811965812,0.153846154,48223,42.33168322,-83.04799903
167,2007,Detroit Community Schools,2011,2013,135,112,23,0.82962963,0.17037037,48223,42.33168322,-83.04799903
168,2008,Detroit Community Schools,2012,2014,135,112,19,0.82962963,0.140740741,48223,42.33168322,-83.04799903
169,2009,Detroit Community Schools,2013,2015,120,107,12,0.891666667,0.1,48223,42.33168322,-83.04799903
170,2010,Detroit Community Schools,2014,2015,111,92,14,0.828828829,0.126126126,48223,42.33168322,-83.04799903
171,2011,Detroit Community Schools,2015,2015,105,93,12,0.885714286,0.114285714,48223,42.33168322,-83.04799903
172,2010,Detroit Edison Public School Academy,2014,2015,96,92,2,0.958333333,0.020833333,48207,42.33168322,-83.04799903
173,2011,Detroit Edison Public School Academy,2015,2015,85,81,4,0.952941176,0.047058824,48207,42.33168322,-83.04799903
174,2003,Detroit Midtown Academy,2007,2009,32,18,14,0.5625,0.4375,48235,42.438858,-83.196144
175,2004,Detroit Midtown Academy,2008,2010,33,8,25,0.242424242,0.757575758,48235,42.438858,-83.196144
176,2005,Detroit Midtown Academy,2009,2011,82,59,19,0.719512195,0.231707317,48235,42.438858,-83.196144
177,2006,Detroit Midtown Academy,2010,2012,71,60,11,0.845070423,0.154929577,48235,42.438858,-83.196144
178,2007,Detroit Midtown Academy,2011,2013,72,57,14,0.791666667,0.194444444,48235,42.438858,-83.196144
179,2008,Detroit Midtown Academy,2012,2014,95,72,12,0.757894737,0.126315789,48235,42.438858,-83.196144
180,2003,Ecorse Public Schools,2007,2009,143,83,59,0.58041958,0.412587413,48229,42.25544155,-83.13935863
181,2004,Ecorse Public Schools,2008,2010,140,78,57,0.557142857,0.407142857,48229,42.25544155,-83.13935863
182,2005,Ecorse Public Schools,2009,2011,126,77,47,0.611111111,0.373015873,48229,42.25544155,-83.13935863
183,2006,Ecorse Public Schools,2010,2012,149,92,51,0.617449664,0.342281879,48229,42.25544155,-83.13935863
184,2007,Ecorse Public Schools,2011,2013,138,87,52,0.630434783,0.376811594,48229,42.25544155,-83.13935863
185,2008,Ecorse Public Schools,2012,2014,142,100,35,0.704225352,0.246478873,48229,42.25544155,-83.13935863
186,2009,Ecorse Public Schools,2013,2015,138,92,43,0.666666667,0.311594203,48229,42.25544155,-83.13935863
187,2010,Ecorse Public Schools,2014,2015,115,77,28,0.669565217,0.243478261,48229,42.25544155,-83.13935863
188,2011,Ecorse Public Schools,2015,2015,109,60,26,0.550458716,0.23853211,48229,42.25544155,-83.13935863
189,2003,Flat Rock Community Schools,2007,2009,131,122,10,0.93129771,0.076335878,48134,42.09450377,-83.28091778
190,2004,Flat Rock Community Schools,2008,2010,138,113,26,0.81884058,0.188405797,48134,42.09450377,-83.28091778
191,2005,Flat Rock Community Schools,2009,2011,139,108,24,0.776978417,0.172661871,48134,42.09450377,-83.28091778
192,2006,Flat Rock Community Schools,2010,2012,143,118,22,0.825174825,0.153846154,48134,42.09450377,-83.28091778
193,2007,Flat Rock Community Schools,2011,2013,137,119,10,0.868613139,0.072992701,48134,42.09450377,-83.28091778
